"","species_latin","class"
"995","Heliodiaptomus viduus","Crustacea"
"996","Pseudodiaptomus annandalei","Crustacea"
"997","Pseudodiaptomus pelagicus","Crustacea"
"998","Pseudodiaptomus incisus","Crustacea"
"999","Pseudodiaptomus dubia","Crustacea"
"1000","Boeckella hamata","Crustacea"
"1001","Centropages typicus","Crustacea"
"1002","Centropages abdominalis","Crustacea"
"1003","Gladioferens pectinatus","Crustacea"
"1004","Temora longicornis","Crustacea"
"1005","Epischura baikalensis","Crustacea"
"1006","Eurytemora affinis","Crustacea"
"1007","Calanus finmarchicus","Crustacea"
"1008","Calanus chilensis","Crustacea"
"1009","Calanus sinicus","Crustacea"
"1010","Calanus marshallae","Crustacea"
"1011","Calanus pacificus","Crustacea"
"1012","Calanus helgolandicus","Crustacea"
"1013","Paracalanus parvus","Crustacea"
"1014","Paracalanus quasimodo","Crustacea"
"1015","Eucalanus californicus","Crustacea"
"1016","Pseudocalanus elongatus","Crustacea"
"1017","Pseudocalanus newmani","Crustacea"
"1018","Pseudocalanus mimus","Crustacea"
"1019","Metridia pacifica","Crustacea"
"1020","Acartia bifilosa","Crustacea"
"1021","Acartia tonsa","Crustacea"
"1022","Acartia discaudata","Crustacea"
"1023","Acartia margalefi","Crustacea"
"1024","Acartia longiremis","Crustacea"
"1025","Acartia clausii","Crustacea"
"1026","Acartia hudsonica","Crustacea"
"1027","Paracartia grani","Crustacea"
"1028","Paracartia latisetosa","Crustacea"
"1029","Pseudocyclops umbraticus","Crustacea"
"1030","Pseudocyclops xiphophorus","Crustacea"
"1031","Mesocyclops thermocyclopoides","Crustacea"
"1032","Mesocyclops darwini","Crustacea"
"1033","Mesocyclops aspericornis","Crustacea"
"1034","Mesocyclops mb3","Crustacea"
"1035","Mesocyclops notius","Crustacea"
"1036","Mesocyclops australiensis","Crustacea"
"1037","Mesocyclops mb2","Crustacea"
"1038","Mesocyclops mb1","Crustacea"
"1039","Megacyclops viridis","Crustacea"
"1040","Cyclops vicinus","Crustacea"
"1041","Macrocyclops albidus","Crustacea"
"1042","Oithona similis","Crustacea"
"1043","Oithona davisae","Crustacea"
"1044","Tigriopus japonicus","Crustacea"
"1045","Tigriopus kingsejongensis","Crustacea"
"1046","Tigriopus californicus","Crustacea"
"1047","Paracyclopina nana","Crustacea"
"1048","Monoporeia affinis","Crustacea"
"1049","Pontoporeia femorata","Crustacea"
"1050","Peramphithoe parmerong","Crustacea"
"1051","Corophium multisetosum","Crustacea"
"1052","Capeorchestia capensis","Crustacea"
"1053","Eogammarus sinensis","Crustacea"
"1054","Gammarus fossarum","Crustacea"
"1055","Gammarus aequicauda","Crustacea"
"1056","Gammarus locusta","Crustacea"
"1057","Echinogammarus marinus","Crustacea"
"1058","Melita plumulosa","Crustacea"
"1059","Neocaridina davidi","Crustacea"
"1060","Neocaridina heteropoda","Crustacea"
"1061","Penaeus merguiensis","Crustacea"
"1062","Penaeus setiferus","Crustacea"
"1063","Penaeus vannamei","Crustacea"
"1064","Penaeus semisulcatus","Crustacea"
"1065","Afropinnotheres monodi","Crustacea"
"1066","Romaleon setosum","Crustacea"
"1067","Taliepus dentatus","Crustacea"
"1068","Cherax quadricarinatus","Crustacea"
"1069","Procambarus clarkii","Crustacea"
"1070","Orconectes luteus","Crustacea"
"1071","Austropotamobius pallipes","Crustacea"
"1072","Astacus astacus","Crustacea"
"1073","Homarus gammarus","Crustacea"
"1074","Panulirus interruptus","Crustacea"
"1075","Panulirus ornatus","Crustacea"
"1076","Lithodes santolla","Crustacea"
"1077","Callichirus seilacheri","Crustacea"
"1078","Fistulobalanus albicostatus","Crustacea"
"1079","Pollicipes pollicipes","Crustacea"
"1080","Heterocypris barbara","Crustacea"
"1081","Heterocypris bosniaca","Crustacea"
"1082","Penthesilenula brasiliensis","Crustacea"
"1083","Argulus coregoni","Crustacea"
"1084","Typhlodromalus aripo","Arachnida"
"1085","Euseius finlandicus","Arachnida"
"1086","Euseius alatus","Arachnida"
"1087","Euseius alstoniae","Arachnida"
"1088","Euseius scutalis","Arachnida"
"1089","Phytoseiulus macropilis","Arachnida"
"1090","Phytoseiulus fragariae","Arachnida"
"1091","Phytoseiulus persimilis","Arachnida"
"1092","Amblyseius largoensis","Arachnida"
"1093","Amblyseius eharai","Arachnida"
"1094","Amblyseius swirskii","Arachnida"
"1095","Amblyseius andersoni","Arachnida"
"1096","Amblyseius asetus","Arachnida"
"1097","Amblyseius womersleyi","Arachnida"
"1098","Neoseiulus barkeri","Arachnida"
"1099","Neoseiulus californicus","Arachnida"
"1100","Neoseiulus fallacis","Arachnida"
"1101","Neoseiulus umbraticus","Arachnida"
"1102","Neoseiulus bicaudus","Arachnida"
"1103","Neoseiulus longispinosus","Arachnida"
"1104","Kampimodromus aberrans","Arachnida"
"1105","Iphiseius degenerans","Arachnida"
"1106","Proprioseiopsis temperellus","Arachnida"
"1107","Typhlodromus pyri","Arachnida"
"1108","Typhlodromus talbi","Arachnida"
"1109","Typhlodromus bagdasarjani","Arachnida"
"1110","Typhlodromus recki","Arachnida"
"1111","Galendromus longipilus","Arachnida"
"1112","Cydnoseius negevi","Arachnida"
"1113","Hypoaspis miles","Arachnida"
"1114","Poecilochirus carabi","Arachnida"
"1115","Haemaphysalis longicornis","Arachnida"
"1116","Ixodes rubicundus","Arachnida"
"1117","Ornithodoros turicata","Arachnida"
"1118","Rhizoglyphus robini","Arachnida"
"1119","Sancassania polyphyllae","Arachnida"
"1120","Histiogaster","Arachnida"
"1121","Acarus farris","Arachnida"
"1122","Aleuroglyphus ovatus","Arachnida"
"1123","Tyrophagus neiswanderi","Arachnida"
"1124","Tyrophagus similis","Arachnida"
"1125","Tyrophagus putrescentiae","Arachnida"
"1126","Piona exigua","Arachnida"
"1127","Aculops lycopersici","Arachnida"
"1128","Phyllocoptruta oleivora","Arachnida"
"1129","Rhyncaphytoptus ficifoliae","Arachnida"
"1130","Oligonychus mangiferus","Arachnida"
"1131","Oligonychus litchii","Arachnida"
"1132","Oligonychus punicae","Arachnida"
"1133","Oligonychus gossypii","Arachnida"
"1134","Oligonychus pratensis","Arachnida"
"1135","Tetranychus ludeni","Arachnida"
"1136","Tetranychus urticae","Arachnida"
"1137","Tetranychus cinnabarinus","Arachnida"
"1138","Tetranychus evansi","Arachnida"
"1139","Tetranychus turkestani","Arachnida"
"1140","Tetranychus piercei","Arachnida"
"1141","Tetranychus truncatus","Arachnida"
"1142","Tetranychus phaselus","Arachnida"
"1143","Tetranychus abacae","Arachnida"
"1144","Tetranychus palmarum","Arachnida"
"1145","Eotetranychus carpini","Arachnida"
"1146","Eotetranychus frosti","Arachnida"
"1147","Mononychellus progresivus","Arachnida"
"1148","Eutetranychus africanus","Arachnida"
"1149","Bryobia rubrioculus","Arachnida"
"1150","Bryobia praetiosa","Arachnida"
"1151","Panonychus citri","Arachnida"
"1152","Tetranycopsis horridus","Arachnida"
"1153","Cenopalpus irani","Arachnida"
"1154","Raviella indica","Arachnida"
"1155","Cheyletus malaccensis","Arachnida"
"1156","Agistemus buntex","Arachnida"
"1157","Polyphagotarsonemus latus","Arachnida"
"1158","Pyemotes zhonghuajia","Arachnida"
"1159","Pygmephorus lambi","Arachnida"
"1160","Pediculaster mesembrinae","Arachnida"
"1161","Habronattus clypeatus","Arachnida"
"1162","Pardosa astrigera","Arachnida"
"1163","Waitkera waitakerensis","Arachnida"
"1164","Cordylochernes scorpioides","Arachnida"
"1165","Hypsibius dujardini","Tardigrada"
"1166","Cephalenchus emarginatus","Nematoda"
"1167","Steinernema anomali","Nematoda"
"1168","Heterorhabditis bacteriophora","Nematoda"
"1169","Pellioditis marina","Nematoda"
"1170","Caenorhabditis briggsae","Nematoda"
"1171","Caenorhabditis elegans","Nematoda"
"1172","Caenorhabditis tropicalis","Nematoda"
"1173","Caenorhabditis inopinata","Nematoda"
"1174","Pristionchus pacificus","Nematoda"
"1175","Litoditis marina","Nematoda"
"1176","Diplolaimelloides meyli","Nematoda"
"1177","Romanomermis iyengari","Nematoda"
"1178","Acropora digitifera","Cnideria"
"1179","Acropora pulchra","Cnideria"
"1180","Acropora tenuis","Cnideria"
"1181","Balanophyllia europaea","Cnideria"
"1182","Platygyra acuta","Cnideria"
"1183","Orbicella faveolata","Cnideria"
"1184","Diploria strigosa","Cnideria"
"1185","Diadumene lineata","Cnideria"
"1186","Aiptasia diaphana","Cnideria"
"1187","Pseudoplexaura porosa","Cnideria"
"1188","Ovabunda","Cnideria"
"1189","Rhytisma fulvum","Cnideria"
"1190","Paramuricea clavata","Cnideria"
"1191","Desmapsamma anchorata","Porifera"
"1192","Tedania ignis","Porifera"
"1193","Cladocroce caelum","Porifera"
"1194","Aplysina solangeae","Porifera"
"1195","Dysidea janiae","Porifera"
"1196","Carteriospongia foliascens","Porifera"
"1197","Luffariella variabilis","Porifera"
"1198","Paraleucilla magna","Porifera"
"1199","Sycettusa hastifera","Porifera"
"1200","Pleurobrachia globosa","Ctenophora"
